"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1935675178689921361","Fri Jun 20 06:17:12 +0000 2025","0","@mnbxshen Kamu kayak tugas kuliah bikin stres tapi nggak bisa ditinggalin. #TheExMorningEP5","1935945007846113737","","mnbxshen","in","","0","0","0","https://x.com/undefined/status/1935945007846113737","1758083768534110208",
"1935202465668059244","Fri Jun 20 05:45:39 +0000 2025","0","@yourjurney @jimitunes rektor tahun lalu korupsi semar night festival 2023 gagal feb nginjek leher anak fp pas porsema yang terbaru banyak mhs kehilangan helm &amp; motor dan gak ada tindakan dari pihak kampus","1935937066728362102","","yourjurney","in","","0","1","0","https://x.com/undefined/status/1935937066728362102","1645502777509150720",
"1935797296257810863","Fri Jun 20 05:34:12 +0000 2025","0","@fio032 kalau aku ga kuliah pasti ga stres kaya gini kak gaada namanya ngelaprak sampe jam 4 pagi ","1935934185228898675","","fio032","in","","0","1","0","https://x.com/undefined/status/1935934185228898675","1531905656831508480",
"1935740640542732787","Fri Jun 20 04:56:35 +0000 2025","10","@um_fess fik gedungnya bagus dosennya baik puollll banyak cowok ganteng jd kl stres kuliah at least masi bisa menikmati pemandangan itu semua. apalagi liat pemandangan pagi² di kaca fik lantai 5","1935924720786194443","","um_fess","in","","1","0","0","https://x.com/undefined/status/1935924720786194443","1690566742869966849",
"1935912006638616728","Fri Jun 20 04:06:04 +0000 2025","0","Bisa gak TL gue jangan lewat masalah SM muak nying udh tau SM babi gitu mndng langsung protes dan spam email syarat suka artis SM tuh jangan berharap apa² ke agensi karena mereka tai ke artisnya apalagi non korea","1935912006638616728","","","in","","0","0","0","https://x.com/undefined/status/1935912006638616728","991308819375341568",
"1935202465668059244","Fri Jun 20 03:59:11 +0000 2025","4","@jimitunes ini kalo kampusnya kampus ultramen gue ijin d.o dah banyak amat kasusnya anjir","1935910275716465109","","jimitunes","in","","0","2","0","https://x.com/undefined/status/1935910275716465109","1645502777509150720",
"1935905001555247403","Fri Jun 20 03:39:57 +0000 2025","1","Jadi ya aku bersyukur dulu kuliah HI walaupun tahun pertama rada stres karena harus belajar semua berbau IPS yang dulu aku sebel karena stereotipnya Tapi hari ini menyadari kalau apa yang dipelajari dari HI sangat insightful &amp; fruitful broadening the perspective ️","1935905434403324128","","belandjar","in","","0","0","0","https://x.com/undefined/status/1935905434403324128","81033072",
"1935896650872246713","Fri Jun 20 03:05:03 +0000 2025","1","Gw berterima kasih banyak kepada lemari yg di kamar gw yg udh gw pukulin sampe pecah pas lgi stres kuliah. Tanpa lu kyknya gw dah mukul tembok","1935896650872246713","","","in","","0","0","0","https://x.com/undefined/status/1935896650872246713","1244466833123495937",
"1935894246827209088","Fri Jun 20 02:55:30 +0000 2025","1","gasabar buat kuliah dan mengalami stres kuliah itu","1935894246827209088","","","in","","0","0","0","https://x.com/undefined/status/1935894246827209088","1735519280987529216",
"1935843818865410067","Thu Jun 19 23:35:07 +0000 2025","1","Kmrn ngobrol2 sama temen kuliah lg catch up kehidupan Dri ngomongin kosan di jkt ke dunia kerja lanjut kuliah tiba2 pengen jd istri org aja nyari suger dedy atau nyari suami bule biar pindah negara Jgn main2 sm kehaluan org yg udh stres bekerja","1935843818865410067","","","in","","0","0","1","https://x.com/undefined/status/1935843818865410067","897671086858358784",
